# Matter power spectrum P(k) at redshift z=3
# for k=1.05583e-05 to 105.69 h/Mpc,
# number of wavenumbers equal to 132
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055825013550e-05       3.927338296935e+00 
       1.329204939967e-05       4.902276832768e+00 
       1.673369876406e-05       6.119234032925e+00 
       2.106647860739e-05       7.638284866797e+00 
       2.652112525586e-05       9.534412445151e+00 
       3.338811853397e-05       1.190120377885e+01 
       4.203315087442e-05       1.485545882756e+01 
       5.291660177358e-05       1.854293302259e+01 
       6.661805467855e-05       2.314548692506e+01 
       8.386716191912e-05       2.888997336225e+01 
       1.055825013550e-04       3.605925614178e+01 
       1.329204939967e-04       4.500581917307e+01 
       1.673369876406e-04       5.616846862584e+01 
       2.106647860739e-04       7.009262548493e+01 
       2.652112525586e-04       8.745458234927e+01 
       3.338811853397e-04       1.090897369202e+02 
       4.203315087442e-04       1.360240255413e+02 
       5.291660177358e-04       1.695063113619e+02 
       6.661805467855e-04       2.110371762315e+02 
       8.386716191912e-04       2.623867671868e+02 
       1.055825013550e-03       3.255924587196e+02 
       1.329204939967e-03       4.029250840474e+02 
       1.673369876406e-03       4.968040562399e+02 
       2.106647860739e-03       6.096657019332e+02 
       2.652112525586e-03       7.435924405798e+02 
       3.338811853397e-03       8.998015783941e+02 
       4.203315087442e-03       1.077958629629e+03 
       5.291660177358e-03       1.275187274534e+03 
       6.661805467855e-03       1.484834689163e+03 
       8.386716191912e-03       1.695049180840e+03 
       1.055825013550e-02       1.887318975289e+03 
       1.329204939967e-02       2.035244385302e+03 
       1.673369876401e-02       2.105730251678e+03 
       2.106647832521e-02       2.064999382056e+03 
       2.652093720756e-02       1.895250171891e+03 
       3.336476225328e-02       1.622108635640e+03 
       4.132876331327e-02       1.344670142633e+03 
       4.786333859770e-02       1.185195579982e+03 
       5.263786138157e-02       1.103321750122e+03 
       5.660399909917e-02       1.050478252356e+03 
       6.015891045584e-02       1.009776180680e+03 
       6.348193975586e-02       9.739367178040e+02 
       6.666896154422e-02       9.392117076667e+02 
       6.977787413653e-02       9.035603214421e+02 
       7.284691362574e-02       8.659696865014e+02 
       7.590314258047e-02       8.261491721137e+02 
       7.896682294762e-02       7.843575944976e+02 
       8.205385790546e-02       7.412731043446e+02 
       8.517724439441e-02       6.978643469284e+02 
       8.834798208872e-02       6.552620137494e+02 
       9.157566623284e-02       6.146240500829e+02 
       9.486888769795e-02       5.770022395018e+02 
       9.823551066211e-02       5.432314625954e+02 
       1.016828698649e-01       5.138358316191e+02 
       1.052179133776e-01       4.889714684837e+02 
       1.088473074605e-01       4.683939529837e+02 
